decimal,smallest base in which the number is a palindrome
0,2
1,2
2,3
3,2
4,3
5,2
6,5
7,2
8,3
9,2
10,3
11,10
12,5
13,3
14,6
15,2
16,3
17,2
18,5
19,18
20,3
21,2
22,10
23,3
24,5
25,4
26,3
27,2
28,3
29,4
30,9
31,2
32,7
33,2
34,4
35,6
36,5
37,6
38,4
39,12
40,3
41,5
42,4
43,6
44,10
45,2
46,4
48,7
49,6
50,7
51,2
52,3
54,8
55,4
56,3
57,5
59,4
60,9
61,6
62,5
63,2
64,7
65,2
66,10
67,5
68,3
70,9
71,7
72,5
73,2
74,6
75,14
76,18
77,10
78,5
80,3
81,8
82,3
83,5
84,11
85,2
86,6
88,5
89,8
90,14
91,3
92,6
93,2
95,18
96,11
97,8
98,5
99,2
100,3
101,10
102,16
104,5
105,4
107,2
108,11
109,5
111,6
112,3
113,8
114,5
117,6
118,9
119,2
120,11
121,3
122,11
123,6
124,5
125,4
126,5
127,2
128,7
129,2
130,3
131,10
133,11
135,6
136,9
138,8
140,13
141,6
142,3
143,12
144,11
145,9
146,8
147,20
148,6
150,4
151,3
152,18
153,2
154,6
155,11
156,5
157,7
160,3
161,10
162,8
164,3
165,2
166,6
168,13
169,12
170,4
171,7
172,6
173,3
176,15
177,11
178,6
180,14
181,10
182,3
183,13
185,6
186,5
187,16
188,11
189,2
190,4
191,6
192,7
193,12
194,3
195,2
196,13
197,6
198,17
199,11
200,7
202,10
203,3
204,16
205,12
207,7
208,15
209,6
210,11
211,8
212,3
214,7
215,4
216,5
217,6
218,9
219,2
220,19
221,7
222,10
224,3
225,14
226,15
227,8
228,7
229,12
231,2
232,10
233,3
234,17
235,4
236,9
238,16
239,14
240,19
241,12
242,3
243,8
244,3
246,5
247,18
248,13
250,7
251,8
252,5
253,12
255,2
256,15
257,2
259,6
260,8
261,13
262,10
264,7
265,12
266,11
267,14
268,8
270,17
271,7
272,10
273,2
274,13
276,8
277,11
278,7
280,3
281,14
282,5
284,8
285,7
286,15
287,13
288,11
289,4
290,12
291,9
292,7
294,20
295,14
297,2
299,11
300,7
301,6
302,12
303,10
304,18
305,4
307,7
308,8
309,9
310,11
312,5
313,2
314,7
315,20
316,3
318,9
320,19
321,7
323,10
324,17
325,2
326,12
328,3
331,15
332,11
333,8
335,7
336,20
337,9
338,12
340,13
341,2
342,5
343,6
344,7
346,9
349,8
350,12
351,14
353,10
354,11
355,9
357,4
358,17
360,19
361,15
362,12
363,10
364,3
365,2
366,11
369,16
372,5
373,4
374,12
375,17
376,15
377,11
378,5
379,13
381,2
382,9
383,10
385,6
386,12
387,2
388,11
390,8
391,9
392,13
393,4
394,14
397,18
398,8
399,11
400,3
401,16
403,2
404,10
405,13
406,8
408,5
409,4
410,9
412,3
414,8
415,18
417,16
418,13
419,9
421,11
422,8
424,10
425,4
426,17
427,2
428,9
430,8
431,13
432,11
433,16
434,6
435,12
436,14
437,9
438,5
441,4
443,2
444,10
446,8
447,12
448,3
449,16
450,14
451,18
452,15
454,10
455,2
456,7
457,13
459,12
460,17
461,4
463,8
464,9
465,11
467,15
468,5
469,18
470,13
471,2
473,9
474,10
476,6
477,4
478,14
479,8
481,16
482,9
483,12
484,3
487,8
488,3
492,9
493,4
494,10
495,2
496,13
497,15
498,5
499,11
501,9
503,8
504,5
505,10
506,14
507,12
509,4
510,9
511,2
512,7
513,2
514,4
515,10
518,6
519,9
520,14
521,11
523,13
524,3
525,10
527,15
528,9
530,4
531,12
532,11
533,19
534,5
535,10
536,13
537,9
541,18
542,15
543,11
545,10
546,4
548,14
549,13
552,19
554,11
555,9
557,15
559,18
560,3
561,2
562,4
564,5
565,10
567,12
568,7
571,19
572,3
574,9
575,10
576,11
577,18
578,16
580,12
581,20
582,4
583,9
585,2
587,11
588,13
590,19
591,14
592,9
594,5
595,10
597,17
598,4
601,9
602,6
604,12
605,14
606,10
608,3
609,19
610,9
613,18
614,4
616,10
617,15
619,9
621,11
624,5
626,5
627,13
628,9
630,4
631,17
632,11
633,2
636,10
637,9
640,12
641,20
642,16
643,11
644,3
645,2
646,9
647,14
648,17
650,4
651,5
652,12
653,13
654,11
656,3
657,8
658,16
661,14
662,15
664,12
665,9
666,4
668,18
674,9
675,14
676,5
678,15
680,7
681,20
682,4
683,9
685,19
686,10
687,11
688,7
689,14
690,16
692,3
693,2
696,10
698,4
